Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Mexico,Carretera,None,$942.00,$5.00,$29.94,"$28,203.48",$0.00,"$28,203.48","$17,479.79","$10,723.69",04/09/2018,4,April,2018
Midmarket,Mexico,Paseo,None,$400.00,$5.00,$44.17,"$17,668.00",$0.00,"$17,668.00","$15,284.76","$2,383.24",02/07/2017,2,February,2017
Enterprise,Canada,Paseo,None,$383.00,$7.00,$42.44,"$16,254.52",$0.00,"$16,254.52","$13,424.79","$2,829.73",09/01/2015,9,September,2015
Enterprise,USA,Carretera,None,$871.00,$5.00,$45.26,"$39,421.46",$0.00,"$39,421.46","$28,130.97","$11,290.49",12/01/2018,12,December,2018
Small Business,Mexico,Paseo,None,$608.00,$7.00,$81.42,"$49,503.36",$0.00,"$49,503.36","$39,209.91","$10,293.45",10/06/2018,10,October,2018
Government,USA,Carretera,None,$319.00,$7.00,$39.17,"$12,495.23",$0.00,"$12,495.23","$7,917.08","$4,578.15",07/25/2016,7,July,2016
Enterprise,USA,Carretera,None,$993.00,$5.00,$55.17,"$54,783.81",$0.00,"$54,783.81","$44,416.88","$10,366.93",03/01/2017,3,March,2017
Enterprise,Canada,Carretera,None,$872.00,$5.00,$66.15,"$57,682.80",$0.00,"$57,682.80","$48,846.93","$8,835.87",07/16/2016,7,July,2016
Government,USA,Carretera,None,$462.00,$5.00,$30.90,"$14,275.80",$0.00,"$14,275.80","$12,084.80","$2,191.00",01/03/2016,1,January,2016
Midmarket,Germany,Carretera,None,$992.00,$7.00,$74.68,"$74,082.56",$0.00,"$74,082.56","$50,767.54","$23,315.02",12/13/2017,12,December,2017
Midmarket,Germany,Montana,None,$624.00,$3.00,$59.24,"$36,965.76",$0.00,"$36,965.76","$25,104.33","$11,861.43",01/21/2015,1,January,2015
Small Business,France,Montana,None,$68.00,$5.00,$50.21,"$3,414.28",$0.00,"$3,414.28","$2,582.63",$831.65,04/04/2017,4,April,2017
Midmarket,Canada,Carretera,None,$396.00,$7.00,$82.88,"$32,820.48",$0.00,"$32,820.48","$29,221.11","$3,599.37",04/17/2015,4,April,2015
Government,France,Montana,None,$954.00,$7.00,$31.91,"$30,442.14",$0.00,"$30,442.14","$26,672.09","$3,770.05",04/10/2016,4,April,2016
Enterprise,Germany,Montana,None,$662.00,$5.00,$89.49,"$59,242.38",$0.00,"$59,242.38","$41,937.18","$17,305.20",09/04/2015,9,September,2015
Midmarket,France,Paseo,None,$86.00,$7.00,$60.49,"$5,202.14",$0.00,"$5,202.14","$4,338.32",$863.82,06/20/2015,6,June,2015
Small Business,Canada,Carretera,None,$668.00,$5.00,$64.83,"$43,306.44",$0.00,"$43,306.44","$37,953.56","$5,352.88",03/27/2015,3,March,2015
Midmarket,Canada,Montana,None,$141.00,$7.00,$88.76,"$12,515.16",$0.00,"$12,515.16","$8,488.76","$4,026.40",06/12/2018,6,June,2018
Government,USA,Paseo,None,$869.00,$3.00,$83.58,"$72,631.02",$0.00,"$72,631.02","$61,670.18","$10,960.84",02/26/2018,2,February,2018
Small Business,Mexico,Paseo,None,$234.00,$7.00,$64.14,"$15,008.76",$0.00,"$15,008.76","$10,211.49","$4,797.27",02/13/2016,2,February,2016
Midmarket,USA,Carretera,None,$777.00,$5.00,$77.79,"$60,442.83",$0.00,"$60,442.83","$42,490.38","$17,952.45",07/04/2017,7,July,2017
Small Business,Canada,Carretera,None,$77.00,$3.00,$49.00,"$3,773.00",$0.00,"$3,773.00","$2,488.85","$1,284.15",03/16/2015,3,March,2015
Government,Germany,Paseo,None,$597.00,$5.00,$59.26,"$35,378.22",$0.00,"$35,378.22","$26,608.81","$8,769.41",07/19/2018,7,July,2018
Enterprise,Germany,Carretera,None,$421.00,$7.00,$15.59,"$6,563.39",$0.00,"$6,563.39","$5,598.53",$964.86,03/07/2017,3,March,2017
Government,USA,Carretera,None,$881.00,$3.00,$18.09,"$15,937.29",$0.00,"$15,937.29","$12,087.09","$3,850.20",12/01/2015,12,December,2015
Government,Canada,Paseo,None,$579.00,$3.00,$84.65,"$49,012.35",$0.00,"$49,012.35","$31,222.44","$17,789.91",12/16/2017,12,December,2017
Government,Germany,Paseo,None,$394.00,$7.00,$15.37,"$6,055.78",$0.00,"$6,055.78","$4,090.88","$1,964.90",02/02/2014,2,February,2014
Government,Canada,Carretera,None,$468.00,$3.00,$25.25,"$11,817.00",$0.00,"$11,817.00","$9,085.60","$2,731.40",04/01/2015,4,April,2015
Enterprise,Germany,Montana,None,$245.00,$3.00,$81.62,"$19,996.90",$0.00,"$19,996.90","$15,496.72","$4,500.18",04/14/2017,4,April,2017
Enterprise,Canada,Carretera,None,$127.00,$3.00,$10.10,"$1,282.70",$0.00,"$1,282.70",$991.62,$291.08,03/20/2015,3,March,2015
Small Business,France,Montana,None,$216.00,$5.00,$35.42,"$7,650.72",$0.00,"$7,650.72","$4,767.17","$2,883.55",09/05/2015,9,September,2015
Midmarket,Canada,Paseo,None,$139.00,$5.00,$62.56,"$8,695.84",$0.00,"$8,695.84","$7,183.71","$1,512.13",06/27/2014,6,June,2014
Enterprise,Canada,Montana,None,$313.00,$3.00,$63.59,"$19,903.67",$0.00,"$19,903.67","$17,372.49","$2,531.18",05/15/2017,5,May,2017
Enterprise,USA,Paseo,None,$521.00,$7.00,$79.94,"$41,648.74",$0.00,"$41,648.74","$31,367.99","$10,280.75",12/10/2016,12,December,2016
Midmarket,France,Carretera,None,$257.00,$7.00,$55.53,"$14,271.21",$0.00,"$14,271.21","$11,640.30","$2,630.91",12/21/2018,12,December,2018
Enterprise,Mexico,Carretera,None,$773.00,$5.00,$55.85,"$43,172.05",$0.00,"$43,172.05","$37,741.21","$5,430.84",06/02/2015,6,June,2015
Government,USA,Paseo,None,$320.00,$7.00,$75.28,"$24,089.60",$0.00,"$24,089.60","$19,097.92","$4,991.68",11/11/2015,11,November,2015
Government,Mexico,Paseo,None,$312.00,$3.00,$54.88,"$17,122.56",$0.00,"$17,122.56","$13,737.39","$3,385.17",08/16/2015,8,August,2015
Midmarket,Germany,Paseo,None,$555.00,$7.00,$64.76,"$35,941.80",$0.00,"$35,941.80","$29,343.65","$6,598.15",05/19/2015,5,May,2015
Small Business,Mexico,Carretera,None,$834.00,$5.00,$90.80,"$75,727.20",$0.00,"$75,727.20","$51,354.46","$24,372.74",04/04/2018,4,April,2018
Small Business,Canada,Carretera,None,$561.00,$5.00,$46.13,"$25,878.93",$0.00,"$25,878.93","$20,051.08","$5,827.85",07/10/2016,7,July,2016
Midmarket,Mexico,Montana,None,$903.00,$3.00,$44.66,"$40,327.98",$0.00,"$40,327.98","$34,385.75","$5,942.23",12/22/2014,12,December,2014
Midmarket,USA,Paseo,None,$775.00,$5.00,$10.32,"$7,998.00",$0.00,"$7,998.00","$5,509.41","$2,488.59",05/22/2016,5,May,2016
Government,USA,Montana,None,$935.00,$5.00,$65.21,"$60,971.35",$0.00,"$60,971.35","$52,993.32","$7,978.03",04/12/2018,4,April,2018
Small Business,Mexico,Carretera,None,$625.00,$5.00,$12.68,"$7,925.00",$0.00,"$7,925.00","$6,229.96","$1,695.04",05/02/2017,5,May,2017
Enterprise,USA,Montana,None,$573.00,$7.00,$55.37,"$31,727.01",$0.00,"$31,727.01","$23,064.03","$8,662.98",11/02/2014,11,November,2014
Government,USA,Montana,None,$771.00,$5.00,$82.38,"$63,514.98",$0.00,"$63,514.98","$49,983.42","$13,531.56",04/09/2014,4,April,2014
Midmarket,Mexico,Carretera,None,$361.00,$7.00,$59.49,"$21,475.89",$0.00,"$21,475.89","$15,474.62","$6,001.27",08/12/2017,8,August,2017
Small Business,France,Carretera,None,$223.00,$5.00,$34.27,"$7,642.21",$0.00,"$7,642.21","$6,506.66","$1,135.55",08/02/2015,8,August,2015
Enterprise,France,Paseo,None,$480.00,$5.00,$80.76,"$38,764.80",$0.00,"$38,764.80","$28,867.97","$9,896.83",01/18/2018,1,January,2018
Enterprise,Germany,Montana,None,$817.00,$7.00,$34.27,"$27,998.59",$0.00,"$27,998.59","$24,368.97","$3,629.62",12/16/2017,12,December,2017
Government,USA,Carretera,None,$512.00,$7.00,$75.97,"$38,896.64",$0.00,"$38,896.64","$29,286.93","$9,609.71",03/19/2016,3,March,2016
Small Business,Mexico,Carretera,None,$150.00,$3.00,$64.92,"$9,738.00",$0.00,"$9,738.00","$7,772.00","$1,966.00",11/15/2016,11,November,2016
Small Business,USA,Montana,None,$65.00,$3.00,$25.30,"$1,644.50",$0.00,"$1,644.50","$1,478.94",$165.56,04/25/2017,4,April,2017
Midmarket,Canada,Carretera,None,$758.00,$7.00,$91.46,"$69,326.68",$0.00,"$69,326.68","$44,652.60","$24,674.08",02/16/2018,2,February,2018
Small Business,USA,Paseo,None,$307.00,$5.00,$28.06,"$8,614.42",$0.00,"$8,614.42","$7,072.60","$1,541.82",05/06/2014,5,May,2014
Small Business,USA,Paseo,None,$945.00,$3.00,$99.06,"$93,611.70",$0.00,"$93,611.70","$60,067.04","$33,544.66",11/27/2014,11,November,2014
Government,France,Montana,None,$293.00,$7.00,$10.66,"$3,123.38",$0.00,"$3,123.38","$2,660.06",$463.32,08/15/2015,8,August,2015
Small Business,Mexico,Paseo,None,$397.00,$7.00,$33.71,"$13,382.87",$0.00,"$13,382.87","$10,424.40","$2,958.47",12/12/2018,12,December,2018
Enterprise,USA,Carretera,None,$298.00,$5.00,$27.99,"$8,341.02",$0.00,"$8,341.02","$7,352.17",$988.85,02/22/2016,2,February,2016
Government,France,Carretera,None,$154.00,$7.00,$11.26,"$1,734.04",$0.00,"$1,734.04","$1,490.91",$243.13,09/12/2016,9,September,2016
Government,Germany,Carretera,None,$743.00,$3.00,$75.91,"$56,401.13",$0.00,"$56,401.13","$35,107.54","$21,293.59",07/10/2015,7,July,2015
Midmarket,France,Carretera,None,$716.00,$5.00,$72.41,"$51,845.56",$0.00,"$51,845.56","$33,242.89","$18,602.67",06/21/2016,6,June,2016
Small Business,France,Montana,None,$336.00,$7.00,$81.31,"$27,320.16",$0.00,"$27,320.16","$21,319.32","$6,000.84",08/15/2015,8,August,2015
Midmarket,France,Paseo,None,$218.00,$7.00,$33.10,"$7,215.80",$0.00,"$7,215.80","$5,451.50","$1,764.30",02/23/2015,2,February,2015
Enterprise,USA,Paseo,None,$469.00,$5.00,$49.99,"$23,445.31",$0.00,"$23,445.31","$15,252.80","$8,192.51",05/27/2017,5,May,2017
Government,USA,Carretera,None,$96.00,$5.00,$69.32,"$6,654.72",$0.00,"$6,654.72","$4,251.09","$2,403.63",04/04/2014,4,April,2014
Government,Germany,Montana,None,$92.00,$5.00,$49.58,"$4,561.36",$0.00,"$4,561.36","$3,508.59","$1,052.77",08/10/2018,8,August,2018
Government,Canada,Carretera,None,$370.00,$3.00,$72.76,"$26,921.20",$0.00,"$26,921.20","$16,547.83","$10,373.37",01/26/2018,1,January,2018
Enterprise,Canada,Carretera,None,$867.00,$3.00,$67.06,"$58,141.02",$0.00,"$58,141.02","$50,124.57","$8,016.45",12/19/2014,12,December,2014
Enterprise,Canada,Montana,None,$270.00,$7.00,$20.32,"$5,486.40",$0.00,"$5,486.40","$4,620.23",$866.17,03/23/2018,3,March,2018
Midmarket,Germany,Montana,None,$562.00,$7.00,$80.29,"$45,122.98",$0.00,"$45,122.98","$37,705.26","$7,417.72",10/14/2016,10,October,2016
Midmarket,Canada,Carretera,None,$761.00,$5.00,$74.86,"$56,968.46",$0.00,"$56,968.46","$34,454.48","$22,513.98",08/10/2016,8,August,2016
Midmarket,Canada,Paseo,None,$490.00,$7.00,$69.03,"$33,824.70",$0.00,"$33,824.70","$20,778.25","$13,046.45",05/17/2018,5,May,2018
Small Business,France,Carretera,None,$193.00,$7.00,$23.96,"$4,624.28",$0.00,"$4,624.28","$3,537.35","$1,086.93",04/22/2017,4,April,2017
Government,USA,Paseo,None,$939.00,$5.00,$34.12,"$32,038.68",$0.00,"$32,038.68","$28,781.23","$3,257.45",06/27/2018,6,June,2018
Government,USA,Paseo,None,$77.00,$3.00,$45.39,"$3,495.03",$0.00,"$3,495.03","$2,455.94","$1,039.09",12/27/2015,12,December,2015
Midmarket,France,Montana,None,$903.00,$3.00,$35.19,"$31,776.57",$0.00,"$31,776.57","$22,348.86","$9,427.71",05/11/2015,5,May,2015
Government,France,Montana,None,$899.00,$3.00,$30.50,"$27,419.50",$0.00,"$27,419.50","$17,556.25","$9,863.25",03/18/2014,3,March,2014
Midmarket,France,Carretera,None,$839.00,$7.00,$82.48,"$69,200.72",$0.00,"$69,200.72","$55,519.79","$13,680.93",11/02/2016,11,November,2016
Small Business,USA,Paseo,None,$602.00,$5.00,$67.44,"$40,598.88",$0.00,"$40,598.88","$32,235.63","$8,363.25",05/11/2017,5,May,2017
Small Business,Canada,Paseo,None,$893.00,$3.00,$60.89,"$54,374.77",$0.00,"$54,374.77","$34,277.68","$20,097.09",04/08/2018,4,April,2018
Enterprise,France,Carretera,None,$708.00,$7.00,$30.34,"$21,480.72",$0.00,"$21,480.72","$15,900.54","$5,580.18",01/19/2015,1,January,2015
Small Business,Germany,Carretera,None,$906.00,$5.00,$92.63,"$83,922.78",$0.00,"$83,922.78","$67,148.50","$16,774.28",01/25/2016,1,January,2016
Midmarket,France,Carretera,None,$739.00,$3.00,$27.21,"$20,108.19",$0.00,"$20,108.19","$15,042.03","$5,066.16",07/16/2016,7,July,2016
Small Business,Mexico,Montana,None,$876.00,$3.00,$81.55,"$71,437.80",$0.00,"$71,437.80","$57,315.20","$14,122.60",04/04/2017,4,April,2017
Enterprise,France,Carretera,None,$886.00,$5.00,$97.00,"$85,942.00",$0.00,"$85,942.00","$72,610.77","$13,331.23",01/14/2017,1,January,2017
Government,USA,Carretera,None,$979.00,$7.00,$75.44,"$73,855.76",$0.00,"$73,855.76","$59,508.88","$14,346.88",06/22/2017,6,June,2017
Midmarket,France,Paseo,None,$216.00,$7.00,$99.36,"$21,461.76",$0.00,"$21,461.76","$16,843.92","$4,617.84",11/17/2017,11,November,2017
Government,Mexico,Carretera,None,$684.00,$3.00,$68.59,"$46,915.56",$0.00,"$46,915.56","$40,163.34","$6,752.22",12/11/2015,12,December,2015
Enterprise,Germany,Paseo,None,$635.00,$5.00,$29.57,"$18,776.95",$0.00,"$18,776.95","$16,339.26","$2,437.69",11/26/2017,11,November,2017
Enterprise,Canada,Paseo,None,$800.00,$7.00,$28.34,"$22,672.00",$0.00,"$22,672.00","$16,248.25","$6,423.75",12/26/2016,12,December,2016
Enterprise,France,Montana,None,$298.00,$5.00,$39.21,"$11,684.58",$0.00,"$11,684.58","$7,618.05","$4,066.53",11/03/2016,11,November,2016
Government,Mexico,Carretera,None,$824.00,$5.00,$10.64,"$8,767.36",$0.00,"$8,767.36","$7,411.56","$1,355.80",11/04/2018,11,November,2018
Government,Mexico,Carretera,None,$813.00,$3.00,$71.35,"$58,007.55",$0.00,"$58,007.55","$38,524.32","$19,483.23",01/21/2016,1,January,2016
Government,Germany,Paseo,None,$406.00,$5.00,$34.18,"$13,877.08",$0.00,"$13,877.08","$12,193.58","$1,683.50",08/13/2016,8,August,2016
Government,USA,Montana,None,$160.00,$5.00,$83.37,"$13,339.20",$0.00,"$13,339.20","$8,095.07","$5,244.13",12/17/2015,12,December,2015
Enterprise,France,Montana,None,$741.00,$5.00,$42.33,"$31,366.53",$0.00,"$31,366.53","$27,489.04","$3,877.49",09/20/2016,9,September,2016
Enterprise,Mexico,Carretera,None,$749.00,$7.00,$53.20,"$39,846.80",$0.00,"$39,846.80","$30,951.20","$8,895.60",11/21/2014,11,November,2014
Midmarket,Germany,Paseo,None,$869.00,$3.00,$96.91,"$84,214.79",$0.00,"$84,214.79","$70,102.30","$14,112.49",03/20/2016,3,March,2016
Midmarket,Canada,Carretera,None,$768.00,$3.00,$31.80,"$24,422.40",$0.00,"$24,422.40","$17,573.08","$6,849.32",07/10/2018,7,July,2018
Government,Mexico,Carretera,None,$283.00,$5.00,$74.91,"$21,199.53",$0.00,"$21,199.53","$19,026.89","$2,172.64",05/26/2018,5,May,2018
Small Business,Germany,Carretera,None,$73.00,$5.00,$77.96,"$5,691.08",$0.00,"$5,691.08","$3,803.15","$1,887.93",03/23/2017,3,March,2017
Small Business,USA,Carretera,None,$75.00,$7.00,$29.89,"$2,241.75",$0.00,"$2,241.75","$1,522.83",$718.92,05/24/2015,5,May,2015
Enterprise,USA,Paseo,None,$430.00,$3.00,$55.09,"$23,688.70",$0.00,"$23,688.70","$14,578.73","$9,109.97",10/12/2018,10,October,2018
Enterprise,Mexico,Montana,None,$779.00,$7.00,$41.52,"$32,344.08",$0.00,"$32,344.08","$28,532.07","$3,812.01",07/08/2014,7,July,2014
Enterprise,Mexico,Carretera,None,$395.00,$3.00,$79.47,"$31,390.65",$0.00,"$31,390.65","$23,128.91","$8,261.74",07/03/2014,7,July,2014
Midmarket,France,Carretera,None,$427.00,$7.00,$66.02,"$28,190.54",$0.00,"$28,190.54","$22,621.66","$5,568.88",09/21/2017,9,September,2017
Midmarket,Germany,Carretera,None,$571.00,$5.00,$52.84,"$30,171.64",$0.00,"$30,171.64","$24,325.35","$5,846.29",08/10/2015,8,August,2015
Enterprise,Mexico,Carretera,None,$66.00,$7.00,$80.14,"$5,289.24",$0.00,"$5,289.24","$4,561.18",$728.06,04/24/2015,4,April,2015
Enterprise,France,Montana,None,$294.00,$5.00,$31.16,"$9,161.04",$0.00,"$9,161.04","$7,324.05","$1,836.99",05/07/2016,5,May,2016
Enterprise,France,Montana,None,$767.00,$3.00,$77.83,"$59,695.61",$0.00,"$59,695.61","$45,882.43","$13,813.18",05/25/2014,5,May,2014
Small Business,Mexico,Montana,None,$819.00,$3.00,$87.88,"$71,973.72",$0.00,"$71,973.72","$58,521.51","$13,452.21",10/10/2014,10,October,2014
Midmarket,USA,Montana,None,$673.00,$5.00,$89.08,"$59,950.84",$0.00,"$59,950.84","$49,476.90","$10,473.94",12/07/2014,12,December,2014
Small Business,Germany,Carretera,None,$766.00,$3.00,$80.53,"$61,685.98",$0.00,"$61,685.98","$40,452.33","$21,233.65",02/18/2014,2,February,2014
Small Business,Germany,Paseo,None,$588.00,$7.00,$46.72,"$27,471.36",$0.00,"$27,471.36","$17,386.63","$10,084.73",12/20/2018,12,December,2018
Enterprise,USA,Montana,None,$632.00,$5.00,$98.36,"$62,163.52",$0.00,"$62,163.52","$38,693.97","$23,469.55",07/28/2015,7,July,2015
Enterprise,Mexico,Montana,None,$737.00,$3.00,$44.16,"$32,545.92",$0.00,"$32,545.92","$23,179.73","$9,366.19",07/14/2016,7,July,2016
Government,Germany,Carretera,None,$251.00,$7.00,$67.48,"$16,937.48",$0.00,"$16,937.48","$12,692.95","$4,244.53",09/12/2018,9,September,2018
Government,Mexico,Carretera,None,$297.00,$7.00,$24.50,"$7,276.50",$0.00,"$7,276.50","$5,709.83","$1,566.67",09/08/2015,9,September,2015
Small Business,Mexico,Carretera,None,$167.00,$3.00,$98.24,"$16,406.08",$0.00,"$16,406.08","$14,558.93","$1,847.15",04/25/2017,4,April,2017
Midmarket,France,Carretera,None,$58.00,$3.00,$73.36,"$4,254.88",$0.00,"$4,254.88","$2,975.17","$1,279.71",05/07/2014,5,May,2014
Enterprise,USA,Paseo,None,$647.00,$7.00,$77.80,"$50,336.60",$0.00,"$50,336.60","$41,691.90","$8,644.70",07/05/2016,7,July,2016
Enterprise,Mexico,Paseo,None,$72.00,$5.00,$15.92,"$1,146.24",$0.00,"$1,146.24",$870.46,$275.78,10/01/2015,10,October,2015
Small Business,Canada,Montana,None,$289.00,$3.00,$78.71,"$22,747.19",$0.00,"$22,747.19","$15,150.24","$7,596.95",07/15/2017,7,July,2017
Government,USA,Paseo,None,$634.00,$3.00,$79.73,"$50,548.82",$0.00,"$50,548.82","$39,660.18","$10,888.64",11/09/2014,11,November,2014
Midmarket,Germany,Montana,None,$76.00,$5.00,$70.46,"$5,354.96",$0.00,"$5,354.96","$4,766.73",$588.23,10/12/2017,10,October,2017
Government,France,Montana,None,$910.00,$5.00,$36.27,"$33,005.70",$0.00,"$33,005.70","$21,034.28","$11,971.42",11/22/2017,11,November,2017
Government,Germany,Paseo,None,$130.00,$3.00,$54.07,"$7,029.10",$0.00,"$7,029.10","$5,287.18","$1,741.92",08/18/2018,8,August,2018
Government,Germany,Montana,None,$645.00,$5.00,$19.94,"$12,861.30",$0.00,"$12,861.30","$7,915.91","$4,945.39",08/11/2017,8,August,2017
Government,USA,Carretera,None,$248.00,$7.00,$52.44,"$13,005.12",$0.00,"$13,005.12","$9,056.31","$3,948.81",02/10/2018,2,February,2018
Enterprise,Germany,Montana,None,$604.00,$7.00,$31.94,"$19,291.76",$0.00,"$19,291.76","$15,166.81","$4,124.95",12/10/2018,12,December,2018
Enterprise,Mexico,Carretera,None,$824.00,$7.00,$41.42,"$34,130.08",$0.00,"$34,130.08","$29,089.65","$5,040.43",09/18/2017,9,September,2017
Government,Germany,Paseo,None,$141.00,$3.00,$24.63,"$3,472.83",$0.00,"$3,472.83","$2,844.59",$628.24,11/26/2015,11,November,2015
Midmarket,France,Paseo,None,$900.00,$5.00,$30.70,"$27,630.00",$0.00,"$27,630.00","$20,414.62","$7,215.38",04/01/2017,4,April,2017
Small Business,France,Montana,None,$133.00,$7.00,$16.89,"$2,246.37",$0.00,"$2,246.37","$1,960.56",$285.81,01/28/2017,1,January,2017
Midmarket,Canada,Carretera,None,$349.00,$5.00,$92.79,"$32,383.71",$0.00,"$32,383.71","$22,371.13","$10,012.58",01/20/2015,1,January,2015
Midmarket,France,Montana,None,$984.00,$7.00,$57.74,"$56,816.16",$0.00,"$56,816.16","$46,941.23","$9,874.93",05/26/2014,5,May,2014
Midmarket,Germany,Paseo,None,$345.00,$5.00,$45.71,"$15,769.95",$0.00,"$15,769.95","$11,704.50","$4,065.45",07/11/2016,7,July,2016
Government,France,Montana,None,$696.00,$7.00,$58.15,"$40,472.40",$0.00,"$40,472.40","$35,194.42","$5,277.98",05/02/2014,5,May,2014
Enterprise,USA,Montana,None,$503.00,$7.00,$66.55,"$33,474.65",$0.00,"$33,474.65","$28,092.93","$5,381.72",03/26/2017,3,March,2017
Midmarket,France,Carretera,None,$330.00,$7.00,$92.97,"$30,680.10",$0.00,"$30,680.10","$26,705.21","$3,974.89",11/11/2014,11,November,2014
Government,Mexico,Paseo,None,$108.00,$7.00,$26.08,"$2,816.64",$0.00,"$2,816.64","$1,871.02",$945.62,07/25/2016,7,July,2016
Midmarket,USA,Montana,None,$958.00,$7.00,$36.60,"$35,062.80",$0.00,"$35,062.80","$28,065.85","$6,996.95",01/02/2014,1,January,2014
Midmarket,Canada,Carretera,None,$920.00,$7.00,$97.82,"$89,994.40",$0.00,"$89,994.40","$73,933.91","$16,060.49",11/27/2016,11,November,2016
Government,Mexico,Montana,None,$391.00,$7.00,$43.41,"$16,973.31",$0.00,"$16,973.31","$13,964.35","$3,008.96",01/09/2014,1,January,2014
Enterprise,Germany,Carretera,None,$802.00,$7.00,$12.03,"$9,648.06",$0.00,"$9,648.06","$7,247.62","$2,400.44",12/01/2018,12,December,2018
Enterprise,Germany,Carretera,None,$514.00,$7.00,$23.29,"$11,971.06",$0.00,"$11,971.06","$7,223.04","$4,748.02",02/23/2017,2,February,2017
Small Business,Germany,Montana,None,$929.00,$5.00,$12.37,"$11,491.73",$0.00,"$11,491.73","$7,796.33","$3,695.40",01/06/2016,1,January,2016
Government,Mexico,Paseo,None,$391.00,$5.00,$99.09,"$38,744.19",$0.00,"$38,744.19","$27,004.32","$11,739.87",09/22/2017,9,September,2017
Small Business,Mexico,Paseo,None,$659.00,$3.00,$35.10,"$23,130.90",$0.00,"$23,130.90","$19,791.05","$3,339.85",04/02/2018,4,April,2018
Small Business,Mexico,Carretera,None,$111.00,$7.00,$93.12,"$10,336.32",$0.00,"$10,336.32","$8,809.29","$1,527.03",07/15/2014,7,July,2014
Small Business,USA,Paseo,None,$825.00,$5.00,$99.63,"$82,194.75",$0.00,"$82,194.75","$51,898.10","$30,296.65",05/01/2017,5,May,2017
Enterprise,USA,Carretera,None,$674.00,$5.00,$63.99,"$43,129.26",$0.00,"$43,129.26","$38,167.27","$4,961.99",07/26/2014,7,July,2014
Government,Germany,Paseo,None,$478.00,$5.00,$12.99,"$6,209.22",$0.00,"$6,209.22","$4,065.41","$2,143.81",07/24/2014,7,July,2014
Small Business,France,Montana,None,$707.00,$5.00,$17.34,"$12,259.38",$0.00,"$12,259.38","$8,879.56","$3,379.82",01/24/2017,1,January,2017
Government,Germany,Paseo,None,$777.00,$5.00,$53.34,"$41,445.18",$0.00,"$41,445.18","$27,542.27","$13,902.91",01/18/2016,1,January,2016
Government,Canada,Carretera,None,$305.00,$5.00,$46.56,"$14,200.80",$0.00,"$14,200.80","$12,185.70","$2,015.10",11/04/2016,11,November,2016
Enterprise,USA,Carretera,None,$877.00,$3.00,$64.56,"$56,619.12",$0.00,"$56,619.12","$46,700.62","$9,918.50",03/13/2017,3,March,2017
Small Business,Mexico,Paseo,None,$877.00,$5.00,$49.50,"$43,411.50",$0.00,"$43,411.50","$30,651.06","$12,760.44",10/04/2016,10,October,2016
Small Business,USA,Montana,None,$923.00,$3.00,$94.07,"$86,826.61",$0.00,"$86,826.61","$69,857.53","$16,969.08",02/15/2015,2,February,2015
Government,Mexico,Carretera,None,$819.00,$3.00,$58.13,"$47,608.47",$0.00,"$47,608.47","$31,198.31","$16,410.16",07/02/2014,7,July,2014
Midmarket,Canada,Carretera,None,$755.00,$7.00,$72.44,"$54,692.20",$0.00,"$54,692.20","$39,087.92","$15,604.28",03/27/2017,3,March,2017
Enterprise,Canada,Carretera,None,$396.00,$7.00,$90.68,"$35,909.28",$0.00,"$35,909.28","$25,608.07","$10,301.21",07/09/2018,7,July,2018
Enterprise,USA,Carretera,None,$575.00,$7.00,$23.22,"$13,351.50",$0.00,"$13,351.50","$8,963.94","$4,387.56",09/12/2017,9,September,2017
Enterprise,Mexico,Carretera,None,$353.00,$5.00,$30.68,"$10,830.04",$0.00,"$10,830.04","$9,345.17","$1,484.87",12/14/2017,12,December,2017
Enterprise,Canada,Montana,None,$664.00,$7.00,$19.66,"$13,054.24",$0.00,"$13,054.24","$10,491.09","$2,563.15",11/20/2014,11,November,2014
Small Business,Germany,Paseo,None,$294.00,$5.00,$22.57,"$6,635.58",$0.00,"$6,635.58","$4,538.62","$2,096.96",01/04/2018,1,January,2018
Small Business,Germany,Montana,None,$806.00,$5.00,$56.13,"$45,240.78",$0.00,"$45,240.78","$30,430.59","$14,810.19",03/15/2014,3,March,2014
Midmarket,Mexico,Montana,None,$873.00,$7.00,$38.91,"$33,968.43",$0.00,"$33,968.43","$20,564.01","$13,404.42",11/04/2016,11,November,2016
Enterprise,USA,Carretera,None,$829.00,$7.00,$48.09,"$39,866.61",$0.00,"$39,866.61","$28,065.08","$11,801.53",06/05/2017,6,June,2017
Enterprise,Canada,Montana,None,$785.00,$3.00,$98.42,"$77,259.70",$0.00,"$77,259.70","$58,565.28","$18,694.42",09/10/2014,9,September,2014
Government,USA,Carretera,None,$781.00,$3.00,$24.10,"$18,822.10",$0.00,"$18,822.10","$12,861.39","$5,960.71",05/12/2015,5,May,2015
Small Business,Germany,Montana,None,$872.00,$5.00,$58.67,"$51,160.24",$0.00,"$51,160.24","$41,446.83","$9,713.41",03/12/2017,3,March,2017
Enterprise,Canada,Carretera,None,$461.00,$5.00,$18.90,"$8,712.90",$0.00,"$8,712.90","$6,304.00","$2,408.90",08/08/2016,8,August,2016
Midmarket,USA,Carretera,None,$927.00,$7.00,$38.66,"$35,837.82",$0.00,"$35,837.82","$24,903.53","$10,934.29",12/04/2014,12,December,2014
